price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
146500,hisense 40 inches smart frameless tv,Hisense,Franco global electronics Ltd.,100,https://www.jumia.com.ng/hisense-40-inches-smart-frameless-tv-12-months-warranty-77043242.html,4.0,40,fhd,,no
129990,polystar 40 inches android smart curved tv,Polystar,Timeless,74,https://www.jumia.com.ng/polystar-40-inches-android-smart-curved-tv-pv-jp40cv2100sy-75616517.html,4.4,40,hd,,yes
76989,energy 32” smart frameless tv,Energy,energy gas,60,https://www.jumia.com.ng/energy-32-smart-frameless-tvnetflixyoutube-app-energy-152511337.html,5.0,32,fhd,,no
117899,infinity 43'' frameless smart tv,Infinity,B AND Q COLLECTIBLES,74,https://www.jumia.com.ng/infinity-43-frameless-smart-tvnetflixyoutube-wall-hanger-219383745.html,5.0,43,fhd,led,no
100000,"polystar 32"" inch smart curved tv",Polystar,Prosmira Ltd,74,https://www.jumia.com.ng/polystar-32-inch-smart-curved-tv-with-netflix-1year-warranty-98276127.html,3.0,32,uhd,led,no
128499,"infinity 43"" smart tv",Infinity,CALCULUX RESOURCES,94,https://www.jumia.com.ng/infinity-43-smart-tv-wall-hanger-netflix-youtube-promo-123025244.html,0.0,43,fhd,led,no
174000,hisense 43 inches led smart tv,Hisense,Purple Linings,94,https://www.jumia.com.ng/hisense-43-inches-led-smart-tv-43a4g-black-229226141.html,0.0,43,fhd,led,no
109900,hisense 32” smart frameless tv,Hisense,F & G Electronics,86,https://www.jumia.com.ng/hisense-32-smart-frameless-tvnetflixyoutube-app-185217475.html,0.0,32,fhd,,no
109000,hisense 32” smart frameless tv,Hisense,ELECTROPLUG,66,https://www.jumia.com.ng/hisense-32-smart-frameless-tvnetflixyoutube-app-131956363.html,4.7,32,fhd,,no
142500,hisense 40” smart frameless tv,Hisense,Homewarehouse,60,https://www.jumia.com.ng/hisense-40-smart-frameless-tvnetflixyoutube-app1-year-warranty-85327452.html,4.5,40,fhd,,no
84500,transparent 32 inch andriod smart led tv,Transparent,EbocasBabyClothings,80,https://www.jumia.com.ng/transparent-32-inch-andriod-smart-led-tv-46151415.html,4.6,32,hd,led,yes
77064,syinix 32 inch led digital tv,Syinix,Jumia,100,https://www.jumia.com.ng/32-inch-led-digital-tv-syinix-mpg1657556.html,4.5,32,hd,led,no
131800,polystar 40 inches- curve smart tv,Polystar,Prosmira Ltd,74,https://www.jumia.com.ng/polystar-40-inches-curve-smart-tv-with-inbuilt-netflix-free-hanger-inside-2020-model-71378625.html,4.0,40,hd,,no
150000,polystar 40 inches- curve smart tv,Polystar,POLYSTAR DEALER STORE,100,https://www.jumia.com.ng/polystar-40-inches-curve-smart-tv-with-inbuilt-netflix-free-hanger-inside-2022-model-70167053.html,4.5,40,hd,,no
138999,polystar 40 inch smart curved led tv,Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-40-inch-smart-curved-led-tv-free-wall-bracket-tv-guard-198526075.html,0.0,40,fhd,led,no
132999,polystar 40 inch smart curved led tv,Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-40-inch-smart-curved-led-tv-free-wall-bracket-216628778.html,5.0,40,fhd,led,no
250000,"polystar 55"" inches smart android tv",Polystar,Bestprice Technologies Ltd,100,https://www.jumia.com.ng/polystar-55-inches-smart-android-tv-81354337.html,0.0,55,uhd,,yes
128500,"amani 43"" inches smart led tv",Amani,JennyLink Store,30,https://www.jumia.com.ng/amani-43-inches-smart-led-tv-wi-fi-150937696.html,0.0,43,fhd,led,no
140000,"polystar 40"" inch android smart tv",Polystar,Bestprice Technologies Ltd,100,https://www.jumia.com.ng/polystar-40-inch-android-smart-tv-144442835.html,0.0,40,fhd,,yes
128900,"infinity 43"" smart tv",Infinity,PENNY PRICE ONLINE STORE,80,https://www.jumia.com.ng/infinity-43-smart-tv-free-wall-hanger-netflix-youtube-promo-110970068.html,5.0,43,fhd,led,no
99999,"polystar 32"" inch smart curved tv",Polystar,Office Comfort Enterprises,60,https://www.jumia.com.ng/polystar-32-inch-smart-curved-tv-with-netflix-1year-warranty-187080057.html,5.0,32,uhd,led,no
127900,"amani 43"" inches smart led tv",Amani,Giovanna Store,86,https://www.jumia.com.ng/amani-43-inches-smart-led-tv-wi-fi-151586348.html,0.0,43,fhd,led,no
